path_name,adj_p_val,overlapping_genes,-log10_pval,method,path_name_clean,n_sensors
regulation of primary metabolic process (GO:0080090),6.763305479903092e-10,"['IDI1', 'FDPS', 'HMGCS1', 'ODC1', 'IRS2', 'NR1D1', 'HMGCR', 'LSS', 'TM7SF2', 'HELZ2', 'SCD', 'FASN', 'MVD', 'DHCR7', 'LDLR']",9.169840996244616,foldChange,Regulation of primary metabolic process ,15
response to interleukin-1 (GO:0070555),9.793288485112688e-09,"['SFRP1', 'CXCL8', 'CCL11', 'CCL8', 'CCL7', 'IL1R1', 'IL1B', 'ANKRD1', 'CHI3L1', 'CCL2', 'NR1D1', 'GBP1']",8.009071452106067,foldChange,Response to interleukin-1 ,12
negative regulation of viral process (GO:0048525),1.5436031864679334e-08,"['BST2', 'IFITM1', 'PLSCR1', 'OAS1', 'OAS2', 'STAT1', 'OAS3', 'MX1', 'ISG15', 'PTX3', 'IFIT1']",7.811464333583401,foldChange,Negative regulation of viral process ,11
chemokine-mediated signaling pathway (GO:0070098),2.7823595966180094e-08,"['CXCL8', 'RBM15', 'CCL11', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",7.555586741800984,foldChange,Chemokine-mediated signaling pathway ,10
cholesterol metabolic process (GO:0008203),3.887076418623819e-08,"['IDI1', 'FDPS', 'HMGCS1', 'INSIG1', 'MSMO1', 'MVD', 'DHCR24', 'HMGCR', 'DHCR7', 'LSS', 'TM7SF2']",7.410376921200377,foldChange,Cholesterol metabolic process ,11
cellular response to chemokine (GO:1990869),4.979366725781956e-08,"['CXCL8', 'CCL11', 'CCL8', 'CCL7', 'DUSP1', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",7.302825887157279,foldChange,Cellular response to chemokine ,10
regulation of cell population proliferation (GO:0042127),7.965907825149486e-08,"['CEBPA', 'CSF3', 'IFITM1', 'CXCL8', 'HMGB2', 'CXCL1', 'IRS2', 'IFI35', 'CLU', 'IFIT3', 'CXCL5', 'NAMPT', 'SOX4', 'JUN', 'CDKN2B', 'STAT1', 'LIF', 'SOD2', 'KLHL41', 'BMP4', 'FABP3', 'IL6', 'SFRP1', 'BCL6', 'IL1B', 'BIRC5', 'MVD', 'HSPA1B', 'HSPA1A']",7.0987647231916355,foldChange,Regulation of cell population proliferation ,29
regulation of viral genome replication (GO:0045069),1.370237761818619e-07,"['BST2', 'IFITM1', 'PLSCR1', 'CXCL8', 'OAS1', 'OAS2', 'OAS3', 'MX1', 'ISG15', 'IFIT1']",6.863204068108802,foldChange,Regulation of viral genome replication ,10
inflammatory response (GO:0006954),1.555551453065481e-07,"['CXCL8', 'CCL11', 'CXCL1', 'ADM', 'FOS', 'CXCL3', 'CXCL2', 'CXCL5', 'IL6', 'CCL8', 'CCL7', 'IL1B', 'BDKRB2', 'CCL2', 'CHI3L1', 'PTX3']",6.80811561913397,foldChange,Inflammatory response ,16
cellular response to molecule of bacterial origin (GO:0071219),1.8407582666152092e-07,"['IL6', 'CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'NR1D1', 'CXCL3', 'CXCL2', 'CXCL5']",6.735003240484667,foldChange,Cellular response to molecule of bacterial origin ,12
cellular response to lipopolysaccharide (GO:0071222),2.797676912557912e-07,"['IL6', 'CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'NR1D1', 'CXCL3', 'CXCL2', 'CXCL5']",6.5532024410933145,foldChange,Cellular response to lipopolysaccharide ,12
negative regulation of viral genome replication (GO:0045071),2.797676912557912e-07,"['BST2', 'IFITM1', 'PLSCR1', 'OAS1', 'OAS2', 'OAS3', 'MX1', 'ISG15', 'IFIT1']",6.5532024410933145,foldChange,Negative regulation of viral genome replication ,9
negative regulation of cellular process (GO:0048523),1.1500691041110538e-06,"['CEBPA', 'IFITM1', 'CDKN2B', 'CXCL8', 'DUSP1', 'CXCL1', 'IFI35', 'SOD2', 'CLU', 'IFIT3', 'BST2', 'BMP4', 'FABP3', 'IL6', 'SFRP1', 'PLSCR1', 'PSRC1', 'BCL6', 'IL1B', 'TXNIP', 'HSPA1B', 'SOX4', 'HSPA1A']",5.939276063444267,foldChange,Negative regulation of cellular process ,23
regulation of protein localization to nucleus (GO:1900180),1.6671606289500536e-06,"['BMP4', 'NGFR', 'DTX3L', 'PLK1', 'LIF', 'CDK1', 'PARP9', 'GLUL']",5.778022554397625,foldChange,Regulation of protein localization to nucleus ,8
response to unfolded protein (GO:0006986),2.1889637243956904e-06,"['DNAJB1', 'HSPH1', 'DDIT3', 'HSPA4L', 'HSPA6', 'HSPB3', 'HSPA1B', 'HSPA1A']",5.6597614355199255,foldChange,Response to unfolded protein ,8
regulation of apoptotic process (GO:0042981),2.1889637243956904e-06,"['TOP2A', 'IFI6', 'CLU', 'IFIT3', 'IFIT2', 'ANKRD1', 'PMAIP1', 'PIM3', 'SOX4', 'NGFR', 'JUN', 'STAT1', 'PLK2', 'PLK1', 'DHCR24', 'DUSP6', 'NFKBIA', 'BMP4', 'IL6', 'SFRP1', 'BCL6', 'CDK1', 'BIRC5', 'GAS1', 'HSPA1B', 'HSPA1A']",5.6597614355199255,foldChange,Regulation of apoptotic process ,26
cellular response to oxygen-containing compound (GO:1901701),2.1889637243956904e-06,"['JUN', 'CXCL8', 'INSIG1', 'MMP3', 'HMGB2', 'TNFAIP3', 'CXCL1', 'FOS', 'NR1D1', 'CXCL3', 'CXCL2', 'CXCL5', 'IL6', 'SFRP1', 'IL1B', 'ANKRD1', 'CCL2']",5.6597614355199255,foldChange,Cellular response to oxygen-containing compound ,17
neutrophil chemotaxis (GO:0030593),2.342120884088352e-06,"['CXCL8', 'CCL11', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",5.630390693406409,foldChange,Neutrophil chemotaxis ,9
response to cytokine (GO:0034097),2.5338542247206154e-06,"['BST2', 'CSF3', 'IFITM1', 'PLSCR1', 'MME', 'IL1R1', 'STAT1', 'IL1B', 'MX2', 'MX1', 'CHI3L1', 'ISG15']",5.596218374148918,foldChange,Response to cytokine ,12
cellular response to interferon-gamma (GO:0071346),2.5338542247206154e-06,"['CCL11', 'CCL8', 'OAS1', 'CCL7', 'OAS2', 'STAT1', 'OAS3', 'IRF7', 'CCL2', 'GBP1', 'ICAM1']",5.596218374148918,foldChange,Cellular response to interferon-gamma ,11
cellular response to lipid (GO:0071396),2.9812756677161084e-06,"['CXCL8', 'INSIG1', 'HMGB2', 'TNFAIP3', 'CXCL1', 'NR1D1', 'CXCL3', 'CXCL2', 'CXCL5', 'IL6', 'SFRP1', 'IL1B', 'ANKRD1', 'CCL2']",5.525597864479717,foldChange,Cellular response to lipid ,14
granulocyte chemotaxis (GO:0071621),2.9812756677161084e-06,"['CXCL8', 'CCL11', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",5.525597864479717,foldChange,Granulocyte chemotaxis ,9
cellular response to interleukin-1 (GO:0071347),3.217045273516527e-06,"['NFKBIA', 'SFRP1', 'CXCL8', 'CCL11', 'CCL8', 'CCL7', 'IL1R1', 'IL1B', 'ANKRD1', 'CCL2', 'NR1D1', 'GBP1']",5.492542827223597,foldChange,Cellular response to interleukin-1 ,12
negative regulation of cell population proliferation (GO:0008285),3.217045273516527e-06,"['CEBPA', 'IFITM1', 'CDKN2B', 'CXCL8', 'TNFAIP3', 'CXCL1', 'IFI35', 'SOD2', 'IFIT3', 'BMP4', 'FABP3', 'IL6', 'SFRP1', 'IL1B', 'HMOX1', 'HSPA1B', 'SOX4', 'HSPA1A']",5.492542827223597,foldChange,Negative regulation of cell population proliferation ,18
response to lipopolysaccharide (GO:0032496),4.141614437122078e-06,"['IL6', 'CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'NR1D1', 'CXCL3', 'CXCL2', 'CXCL5']",5.382830334130237,foldChange,Response to lipopolysaccharide ,12
neutrophil migration (GO:1990266),4.254540881861814e-06,"['CXCL8', 'CCL11', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",5.371147298853668,foldChange,Neutrophil migration ,9
regulation of nuclease activity (GO:0032069),7.919888596253084e-06,"['OAS1', 'OAS2', 'OAS3', 'HMGB2']",5.1012809272959645,foldChange,Regulation of nuclease activity ,4
response to tumor necrosis factor (GO:0034612),8.459806574625784e-06,"['SFRP1', 'CXCL8', 'CCL11', 'CCL8', 'CCL7', 'ANKRD1', 'CHI3L1', 'CCL2', 'NR1D1', 'GBP1']",5.072639566574807,foldChange,Response to tumor necrosis factor ,10
cellular response to tumor necrosis factor (GO:0071356),3.226793750102241e-05,"['NFKBIA', 'SFRP1', 'CCL11', 'CXCL8', 'CCL8', 'CCL7', 'STAT1', 'ANKRD1', 'CHI3L1', 'CCL2', 'NR1D1', 'GBP1']",4.491228792902601,foldChange,Cellular response to tumor necrosis factor ,12
G2/M transition of mitotic cell cycle (GO:0000086),3.840359786356169e-05,"['CCNA2', 'CCNB1', 'CDKN2B', 'TUBA1A', 'PLK1', 'CDK1', 'TUBB4B', 'NES', 'FBXL22', 'AURKA']",4.415628086593515,foldChange,G2/m transition of mitotic cell cycle ,10
cell cycle G2/M phase transition (GO:0044839),4.0214308017650914e-05,"['CCNA2', 'CCNB1', 'CDKN2B', 'TUBA1A', 'PLK1', 'CDK1', 'TUBB4B', 'NES', 'FBXL22', 'AURKA']",4.395619399961598,foldChange,Cell cycle g2/m phase transition ,10
regulation of neuroinflammatory response (GO:0150077),4.805003970184929e-05,"['IL6', 'IL1B', 'MMP3', 'NR1D1', 'PTGS2']",4.318306249154917,foldChange,Regulation of neuroinflammatory response ,5
regulation of inflammatory response (GO:0050727),5.530576772498858e-05,"['NFKBIA', 'CEBPA', 'IL6', 'BCL6', 'IL1R1', 'IL1B', 'MMP3', 'TNFAIP3', 'NR1D1', 'IFI35', 'PTGS2', 'PTGES']",4.257229574653418,foldChange,Regulation of inflammatory response ,12
mitotic cell cycle phase transition (GO:0044772),6.049148276124381e-05,"['CCNA2', 'CCNB1', 'CDKN2B', 'TUBA1A', 'UBE2C', 'PLK2', 'PLK1', 'CDK1', 'TUBB4B', 'NES', 'FBXL22', 'AURKA']",4.218305769978782,foldChange,Mitotic cell cycle phase transition ,12
response to interferon-gamma (GO:0034341),6.049148276124381e-05,"['BST2', 'IFITM1', 'CCL11', 'CCL8', 'CCL7', 'STAT1', 'CCL2', 'GBP1']",4.218305769978782,foldChange,Response to interferon-gamma ,8
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237),6.049148276124381e-05,"['BMP4', 'IL1B', 'IFI6', 'TNFAIP3', 'HMOX1', 'HSPA1B', 'ICAM1', 'HSPA1A']",4.218305769978782,foldChange,Negative regulation of extrinsic apoptotic signaling pathway ,8
negative regulation of multicellular organismal process (GO:0051241),7.548874027557725e-05,"['BMP4', 'SFRP1', 'RGS2', 'GDF15', 'IL1B', 'DDIT3', 'ARRDC3', 'STC1', 'SPRY1', 'ADM', 'HMGCR', 'NR1D1']",4.1221178218921315,foldChange,Negative regulation of multicellular organismal process ,12
regulation of cell cycle (GO:0051726),7.626707923944834e-05,"['JUN', 'CDKN2B', 'CXCL8', 'DUSP1', 'MX2', 'PLK1', 'DHCR24', 'FBXL22', 'BMP4', 'CCNB1', 'SFRP1', 'CENPF', 'BIRC5', 'PIM3']",4.117662885242061,foldChange,Regulation of cell cycle ,14
negative regulation of apoptotic process (GO:0043066),8.205078083903156e-05,"['NGFR', 'PLK2', 'PLK1', 'IFI6', 'DHCR24', 'SOD2', 'IFIT3', 'NFKBIA', 'NR4A2', 'BMP4', 'IL6', 'SFRP1', 'CDK1', 'CCL2', 'BIRC5', 'PIM3', 'HSPA1B', 'HSPA1A']",4.085917281613093,foldChange,Negative regulation of apoptotic process ,18
positive regulation of cellular biosynthetic process (GO:0031328),8.412785945635159e-05,"['STARD4', 'IL6', 'FABP3', 'CXCL8', 'IL1B', 'IRS2', 'NR1D1', 'PTGS2', 'CLU', 'LDLR', 'SOX4']",4.075060161103662,foldChange,Positive regulation of cellular biosynthetic process ,11
positive regulation of interleukin-8 production (GO:0032757),9.971615592166163e-05,"['IL6', 'DDIT3', 'IL1B', 'CHI3L1', 'F3', 'HSPA1B', 'HSPA1A']",4.001234471987248,foldChange,Positive regulation of interleukin-8 production ,7
positive regulation of apoptotic process (GO:0043065),0.00012070416727862093,"['TOP2A', 'NGFR', 'JUN', 'CLU', 'DUSP6', 'IFIT2', 'BMP4', 'IL6', 'SFRP1', 'BCL6', 'DDIT3', 'ANKRD1', 'PMAIP1', 'SOX4']",3.9182777357446774,foldChange,Positive regulation of apoptotic process ,14
interferon-gamma-mediated signaling pathway (GO:0060333),0.00020099548364967633,"['OAS1', 'OAS2', 'STAT1', 'OAS3', 'IRF7', 'GBP1', 'ICAM1']",3.696813701027572,foldChange,Interferon-gamma-mediated signaling pathway ,7
positive regulation of programmed cell death (GO:0043068),0.00024613749159751444,"['TOP2A', 'NGFR', 'JUN', 'CLU', 'DUSP6', 'IFIT2', 'BMP4', 'IL6', 'SFRP1', 'BCL6', 'ANKRD1', 'PMAIP1', 'SOX4']",3.608822229638155,foldChange,Positive regulation of programmed cell death ,13
positive regulation of cellular protein localization (GO:1903829),0.0002563937080751947,"['NGFR', 'DTX3L', 'PLK1', 'LIF', 'CDK1', 'PARP9', 'SLC5A3']",3.5910926366483515,foldChange,Positive regulation of cellular protein localization ,7
"positive regulation of transcription, DNA-templated (GO:0045893)",0.0002563937080751947,"['CEBPA', 'CSF3', 'RASL11A', 'HMGB2', 'HELZ2', 'DBP', 'NAMPT', 'SOX4', 'ZBTB18', 'JUN', 'CDKN2B', 'DTX3L', 'STAT1', 'LIF', 'CKAP2', 'FOS', 'NR1D1', 'PARP9', 'NFKBIA', 'NR4A2', 'BMP4', 'PER1', 'IL6', 'SFRP1', 'PLSCR1', 'PSRC1', 'IL1B', 'DDIT3', 'IRF7']",3.5910926366483515,foldChange,"Positive regulation of transcription, dna-templated ",29
negative regulation of programmed cell death (GO:0043069),0.00025826231147695343,"['NGFR', 'PLK2', 'PLK1', 'IFI6', 'DHCR24', 'IFIT3', 'NFKBIA', 'BMP4', 'IL6', 'SFRP1', 'CDK1', 'BIRC5', 'PIM3', 'HSPA1B', 'HSPA1A']",3.587938966307623,foldChange,Negative regulation of programmed cell death ,15
response to interferon-beta (GO:0035456),0.00027333979139217536,"['BST2', 'IFITM1', 'PLSCR1', 'OAS1', 'STAT1']",3.5632971413620944,foldChange,Response to interferon-beta ,5
regulation of astrocyte activation (GO:0061888),0.00032540117344860824,"['IL6', 'NR1D1', 'LDLR']",3.487580885261064,foldChange,Regulation of astrocyte activation ,3
regulation of fever generation (GO:0031620),0.00032540117344860824,"['IL1B', 'PTGS2', 'PTGES']",3.487580885261064,foldChange,Regulation of fever generation ,3
regulation of ribonuclease activity (GO:0060700),0.00032540117344860824,"['OAS1', 'OAS2', 'OAS3']",3.487580885261064,foldChange,Regulation of ribonuclease activity ,3
negative regulation of protein ubiquitination (GO:0031397),0.0003788760834271428,"['DTX3L', 'TNFAIP3', 'ISG15', 'SOX4', 'HSPA1B', 'HSPA1A']",3.4215028087219608,foldChange,Negative regulation of protein ubiquitination ,6
interleukin-27-mediated signaling pathway (GO:0070106),0.00038823051525876213,"['OAS1', 'STAT1', 'OAS2', 'MX1']",3.410910331679116,foldChange,Interleukin-27-mediated signaling pathway ,4
positive regulation of acute inflammatory response (GO:0002675),0.00038823051525876213,"['IL6', 'IL1B', 'C2CD4A', 'PTGS2']",3.410910331679116,foldChange,Positive regulation of acute inflammatory response ,4
negative regulation of protein serine/threonine kinase activity (GO:0071901),0.000410531278289569,"['BMP4', 'CEBPA', 'RGS2', 'DUSP1', 'IL1B', 'PLK1', 'SPRY1']",3.386653748481034,foldChange,Negative regulation of protein serine/threonine kinase activity ,7
positive regulation of transcription by RNA polymerase II (GO:0045944),0.0004312809540877898,"['ZBTB18', 'NGFR', 'CEBPA', 'CSF3', 'JUN', 'CDKN2B', 'STAT1', 'LIF', 'HMGB2', 'CKAP2', 'FOS', 'NR1D1', 'NFKBIA', 'NR4A2', 'HELZ2', 'BMP4', 'PER1', 'IL6', 'PLSCR1', 'DBP', 'DDIT3', 'NAMPT', 'IRF7', 'SOX4']",3.3652397204239852,foldChange,Positive regulation of transcription by rna polymerase ii ,24
eosinophil chemotaxis (GO:0048245),0.0004833845266937288,"['CCL11', 'CCL8', 'CCL7', 'CCL2']",3.3157072556227902,foldChange,Eosinophil chemotaxis ,4
eosinophil migration (GO:0072677),0.0004833845266937288,"['CCL11', 'CCL8', 'CCL7', 'CCL2']",3.3157072556227902,foldChange,Eosinophil migration ,4
regulation of interleukin-8 production (GO:0032677),0.0004963112214712544,"['IL6', 'DDIT3', 'IL1B', 'CHI3L1', 'F3', 'HSPA1B', 'HSPA1A']",3.304245905403219,foldChange,Regulation of interleukin-8 production ,7
cellular heat acclimation (GO:0070370),0.000555016544729351,"['HSPA6', 'HSPA1B', 'HSPA1A']",3.255694070611439,foldChange,Cellular heat acclimation ,3
heat acclimation (GO:0010286),0.000555016544729351,"['HSPA6', 'HSPA1B', 'HSPA1A']",3.255694070611439,foldChange,Heat acclimation ,3
regulation of mitotic cell cycle phase transition (GO:1901990),0.0005783537850461749,"['CDC20', 'ANLN', 'CCNB1', 'CENPF', 'TUBA1A', 'UBE2C', 'PLK1', 'CDK1', 'TUBB4B', 'AURKA']",3.2378064178250687,foldChange,Regulation of mitotic cell cycle phase transition ,10
regulation of mitotic nuclear division (GO:0007088),0.0006169013531525794,"['BMP4', 'CCNB1', 'DUSP1', 'IL1B', 'MKI67', 'AURKA']",3.209784277144489,foldChange,Regulation of mitotic nuclear division ,6
positive regulation of cell population proliferation (GO:0008284),0.0006628096416480847,"['CSF3', 'STAT1', 'LIF', 'IRS2', 'CXCL5', 'BST2', 'BMP4', 'IL6', 'SFRP1', 'IL1B', 'NAMPT', 'HMOX1', 'BIRC5', 'MVD', 'NES', 'SOX4']",3.1786111826846506,foldChange,Positive regulation of cell population proliferation ,16
regulation of protein binding (GO:0043393),0.0006773969182928836,"['BMP4', 'CSF3', 'DTX3L', 'PLK1', 'IFIT1', 'NES', 'IFIT2', 'AURKA']",3.1691567834390115,foldChange,Regulation of protein binding ,8
interleukin-6-mediated signaling pathway (GO:0070102),0.0007158587870829429,"['CEBPA', 'SOCS3', 'IL6', 'STAT1']",3.1451726397579898,foldChange,Interleukin-6-mediated signaling pathway ,4
positive regulation of interferon-beta production (GO:0032728),0.0007401331987370141,"['OAS1', 'OAS2', 'OAS3', 'IRF7', 'ISG15']",3.1306901150381012,foldChange,Positive regulation of interferon-beta production ,5
mitotic spindle organization (GO:0007052),0.000774233883143918,"['CDC20', 'CCNB1', 'CENPF', 'XPO1', 'PLK2', 'PLK1', 'BIRC5', 'KIF23', 'AURKA']",3.111127826377393,foldChange,Mitotic spindle organization ,9
positive regulation of myeloid cell differentiation (GO:0045639),0.0008273775382375746,"['CSF3', 'STAT1', 'HMGB2', 'HSPA1B', 'HSPA1A']",3.082296273568485,foldChange,Positive regulation of myeloid cell differentiation ,5
positive regulation of cytokine production (GO:0001819),0.0008827723409874771,"['IL1R1', 'ISG15', 'PTGS2', 'F3', 'C3', 'IL6', 'IL1B', 'DDIT3', 'IRF7', 'CHI3L1', 'HMOX1', 'HSPA1B', 'HSPA1A']",3.0541512826067736,foldChange,Positive regulation of cytokine production ,13
regulation of angiogenesis (GO:0045765),0.0009913414211194687,"['IL6', 'SFRP1', 'CXCL8', 'STAT1', 'IL1B', 'TNFAIP3', 'CHI3L1', 'HMOX1', 'F3', 'GLUL']",3.003776747359657,foldChange,Regulation of angiogenesis ,10
negative regulation of MAPK cascade (GO:0043409),0.0010988178056286558,"['BMP4', 'RGS2', 'DUSP1', 'IL1B', 'SPRY1', 'GBP1', 'DUSP6']",2.9590743117345313,foldChange,Negative regulation of mapk cascade ,7
microtubule cytoskeleton organization involved in mitosis (GO:1902850),0.0010988178056286558,"['CDC20', 'CCNB1', 'CENPF', 'XPO1', 'PLK2', 'PLK1', 'BIRC5', 'AURKA']",2.9590743117345313,foldChange,Microtubule cytoskeleton organization involved in mitosis ,8
steroid biosynthetic process (GO:0006694),0.001142025643714056,"['INSIG1', 'MSMO1', 'HMGCR', 'DHCR7', 'LSS', 'TM7SF2']",2.9423241440774985,foldChange,Steroid biosynthetic process ,6
positive regulation of monocyte chemotactic protein-1 production (GO:0071639),0.0012641452633985627,"['OAS1', 'IL1B', 'OAS3']",2.898203018246989,foldChange,Positive regulation of monocyte chemotactic protein-1 production ,3
positive regulation of steroid biosynthetic process (GO:0010893),0.0012641452633985627,"['STARD4', 'ADM', 'NR1D1']",2.898203018246989,foldChange,Positive regulation of steroid biosynthetic process ,3
regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041),0.0013919617609413836,"['SFRP1', 'TNFAIP3', 'HMOX1', 'PMAIP1', 'ICAM1']",2.8563726952141466,foldChange,Regulation of extrinsic apoptotic signaling pathway via death domain receptors ,5
monocyte chemotaxis (GO:0002548),0.0013919617609413836,"['IL6', 'CCL11', 'CCL8', 'CCL7', 'CCL2']",2.8563726952141466,foldChange,Monocyte chemotaxis ,5
positive regulation of protein localization to nucleus (GO:1900182),0.0013932593939965238,"['NGFR', 'DTX3L', 'PLK1', 'LIF', 'CDK1', 'PARP9']",2.8559680200484716,foldChange,Positive regulation of protein localization to nucleus ,6
regulation of lipid storage (GO:0010883),0.0014004935002682605,"['C3', 'NFKBIA', 'IL6', 'MEST']",2.853718902409266,foldChange,Regulation of lipid storage ,4
negative regulation of nucleic acid-templated transcription (GO:1903507),0.0015851116575521813,"['ZBTB18', 'CEBPA', 'JUN', 'RBM15', 'HMGB2', 'NR1D1', 'CIART', 'BMP4', 'PER1', 'SFRP1', 'CENPF', 'BCL6', 'DDIT3', 'BIRC5', 'GZF1']",2.799940140038783,foldChange,Negative regulation of nucleic acid-templated transcription ,15
regulation of interferon-gamma-mediated signaling pathway (GO:0060334),0.0016105337590543469,"['SOCS3', 'STAT1', 'PARP14', 'PARP9']",2.793030167325287,foldChange,Regulation of interferon-gamma-mediated signaling pathway ,4
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240),0.0016105337590543469,"['IL1B', 'IFI6', 'HSPA1B', 'HSPA1A']",2.793030167325287,foldChange,Negative regulation of extrinsic apoptotic signaling pathway in absence of ligand ,4
negative regulation of signal transduction in absence of ligand (GO:1901099),0.0016105337590543469,"['IL1B', 'IFI6', 'HSPA1B', 'HSPA1A']",2.793030167325287,foldChange,Negative regulation of signal transduction in absence of ligand ,4
response to type I interferon (GO:0034340),0.0016861789853572075,"['MX1', 'ISG15', 'IFIT1']",2.7730963275598857,foldChange,Response to type i interferon ,3
isoprenoid biosynthetic process (GO:0008299),0.0016861789853572075,"['IDI1', 'MVD', 'HMGCR']",2.7730963275598857,foldChange,Isoprenoid biosynthetic process ,3
regulation of insulin secretion (GO:0050796),0.0017775751393997634,"['SFRP1', 'IL6', 'IL1B', 'SLC2A1', 'IRS2', 'NR1D1', 'SOX4']",2.750172032265156,foldChange,Regulation of insulin secretion ,7
response to molecule of bacterial origin (GO:0002237),0.0018881431298714843,"['IL6', 'CXCL8', 'IL1B', 'HMGB2', 'TNFAIP3', 'CXCL2']",2.7239650872851446,foldChange,Response to molecule of bacterial origin ,6
