path_name,adj_p_val,overlapping_genes,-log10_pval,method,path_name_clean,n_sensors
regulation of viral genome replication (GO:0045069),1.4006661882145345e-07,"['BST2', 'IFITM1', 'CXCL8', 'OAS2', 'OAS3', 'MX1', 'ISG15', 'IFIT1']",6.853665354999912,foldChange,Regulation of viral genome replication ,8
inflammatory response (GO:0006954),1.5110810982550034e-07,"['IL6', 'CCL8', 'CXCL8', 'CCL7', 'IL1B', 'CCL2', 'CHI3L1', 'PTX3', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",6.820712226872426,foldChange,Inflammatory response ,12
negative regulation of viral process (GO:0048525),1.6687898772710428e-07,"['BST2', 'IFITM1', 'OAS2', 'OAS3', 'MX1', 'ISG15', 'PTX3', 'IFIT1']",6.777598343300731,foldChange,Negative regulation of viral process ,8
neutrophil chemotaxis (GO:0030593),1.6687898772710428e-07,"['CXCL8', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",6.777598343300731,foldChange,Neutrophil chemotaxis ,8
granulocyte chemotaxis (GO:0071621),2.2236443888833858e-07,"['CXCL8', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",6.652934665063997,foldChange,Granulocyte chemotaxis ,8
neutrophil migration (GO:1990266),3.2530899318754103e-07,"['CXCL8', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",6.48770393045397,foldChange,Neutrophil migration ,8
negative regulation of viral genome replication (GO:0045071),6.140860312369111e-07,"['BST2', 'IFITM1', 'OAS2', 'OAS3', 'MX1', 'ISG15', 'IFIT1']",6.211770781506819,foldChange,Negative regulation of viral genome replication ,7
cellular response to interleukin-1 (GO:0071347),5.292704197027782e-06,"['NFKBIA', 'SFRP1', 'CCL8', 'CXCL8', 'CCL7', 'IL1R1', 'IL1B', 'ANKRD1', 'CCL2']",5.276322377534973,foldChange,Cellular response to interleukin-1 ,9
response to unfolded protein (GO:0006986),9.589283471052766e-06,"['DDIT3', 'HSPA4L', 'HSPA6', 'HSPB3', 'HSPA1B', 'HSPA1A']",5.0182138429016785,foldChange,Response to unfolded protein ,6
regulation of cell population proliferation (GO:0042127),1.308717123043374e-05,"['CSF3', 'JUN', 'IFITM1', 'CXCL8', 'LIF', 'HMGB2', 'CXCL1', 'SOD2', 'IFIT3', 'CXCL5', 'FABP3', 'IL6', 'SFRP1', 'IL1B', 'NAMPT', 'HSPA1B', 'HSPA1A']",4.883154215311335,foldChange,Regulation of cell population proliferation ,17
negative regulation of cell population proliferation (GO:0008285),2.3645487536213466e-05,"['FABP3', 'IL6', 'IFITM1', 'SFRP1', 'CXCL8', 'IL1B', 'TNFAIP3', 'CXCL1', 'SOD2', 'HSPA1B', 'IFIT3', 'HSPA1A']",4.626251727023713,foldChange,Negative regulation of cell population proliferation ,12
positive regulation of interleukin-8 production (GO:0032757),3.2093290245071364e-05,"['IL6', 'DDIT3', 'IL1B', 'CHI3L1', 'HSPA1B', 'HSPA1A']",4.4935857561974855,foldChange,Positive regulation of interleukin-8 production ,6
secondary alcohol biosynthetic process (GO:1902653),3.627458965364075e-05,"['HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'DHCR7']",4.440397491699805,foldChange,Secondary alcohol biosynthetic process ,5
positive regulation of acute inflammatory response (GO:0002675),3.843360218800415e-05,"['IL6', 'IL1B', 'C2CD4A', 'PTGS2']",4.415288909393093,foldChange,Positive regulation of acute inflammatory response ,4
cholesterol biosynthetic process (GO:0006695),3.924611065940099e-05,"['HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'DHCR7']",4.406203375934132,foldChange,Cholesterol biosynthetic process ,5
response to cytokine (GO:0034097),4.018614301779972e-05,"['BST2', 'CSF3', 'IFITM1', 'IL1R1', 'IL1B', 'MX1', 'CHI3L1', 'ISG15']",4.395923674486454,foldChange,Response to cytokine ,8
positive regulation of cytokine production (GO:0001819),4.184550057818595e-05,"['C3', 'IL6', 'IL1R1', 'IL1B', 'DDIT3', 'IRF7', 'CHI3L1', 'ISG15', 'PTGS2', 'HSPA1B', 'HSPA1A']",4.378351232512236,foldChange,Positive regulation of cytokine production ,11
sterol biosynthetic process (GO:0016126),5.434406184310262e-05,"['HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'DHCR7']",4.264847904193442,foldChange,Sterol biosynthetic process ,5
response to tumor necrosis factor (GO:0034612),5.59048146720485e-05,"['SFRP1', 'CCL8', 'CXCL8', 'CCL7', 'ANKRD1', 'CCL2', 'CHI3L1']",4.252550787901419,foldChange,Response to tumor necrosis factor ,7
response to molecule of bacterial origin (GO:0002237),7.169213658604905e-05,"['IL6', 'CXCL8', 'IL1B', 'HMGB2', 'TNFAIP3', 'CXCL2']",4.144528476473997,foldChange,Response to molecule of bacterial origin ,6
cellular heat acclimation (GO:0070370),9.065451069524292e-05,"['HSPA6', 'HSPA1B', 'HSPA1A']",4.042610581846283,foldChange,Cellular heat acclimation ,3
regulation of nuclease activity (GO:0032069),9.065451069524292e-05,"['OAS2', 'OAS3', 'HMGB2']",4.042610581846283,foldChange,Regulation of nuclease activity ,3
heat acclimation (GO:0010286),9.065451069524292e-05,"['HSPA6', 'HSPA1B', 'HSPA1A']",4.042610581846283,foldChange,Heat acclimation ,3
regulation of interleukin-8 production (GO:0032677),0.00011841729891765071,"['IL6', 'DDIT3', 'IL1B', 'CHI3L1', 'HSPA1B', 'HSPA1A']",3.9265848493386164,foldChange,Regulation of interleukin-8 production ,6
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240),0.00016602903448287325,"['IL1B', 'IFI6', 'HSPA1B', 'HSPA1A']",3.77981595766427,foldChange,Negative regulation of extrinsic apoptotic signaling pathway in absence of ligand ,4
negative regulation of signal transduction in absence of ligand (GO:1901099),0.00016602903448287325,"['IL1B', 'IFI6', 'HSPA1B', 'HSPA1A']",3.77981595766427,foldChange,Negative regulation of signal transduction in absence of ligand ,4
negative regulation of cellular process (GO:0048523),0.00016602903448287325,"['IFITM1', 'CXCL8', 'DUSP1', 'CXCL1', 'SOD2', 'IFIT3', 'BST2', 'FABP3', 'IL6', 'SFRP1', 'IL1B', 'HSPA1B', 'HSPA1A']",3.77981595766427,foldChange,Negative regulation of cellular process ,13
negative regulation of apoptotic process (GO:0043066),0.0001797826561304318,"['NFKBIA', 'NR4A2', 'NGFR', 'IL6', 'SFRP1', 'IFI6', 'CCL2', 'DHCR24', 'SOD2', 'HSPA1B', 'IFIT3', 'HSPA1A']",3.745252207542525,foldChange,Negative regulation of apoptotic process ,12
negative regulation of protein ubiquitination (GO:0031397),0.0001797826561304318,"['DTX3L', 'TNFAIP3', 'ISG15', 'HSPA1B', 'HSPA1A']",3.745252207542525,foldChange,Negative regulation of protein ubiquitination ,5
cellular response to tumor necrosis factor (GO:0071356),0.00018714995745633381,"['NFKBIA', 'SFRP1', 'CCL8', 'CXCL8', 'CCL7', 'ANKRD1', 'CCL2', 'CHI3L1']",3.727810267275082,foldChange,Cellular response to tumor necrosis factor ,8
positive regulation of vascular endothelial growth factor production (GO:0010575),0.00021327744402907097,"['C3', 'IL6', 'IL1B', 'PTGS2']",3.671055072594141,foldChange,Positive regulation of vascular endothelial growth factor production ,4
regulation of vascular endothelial growth factor production (GO:0010574),0.00028724597351470835,"['C3', 'IL6', 'IL1B', 'PTGS2']",3.541746050342374,foldChange,Regulation of vascular endothelial growth factor production ,4
response to type I interferon (GO:0034340),0.00029648654107009763,"['MX1', 'ISG15', 'IFIT1']",3.5279950165380196,foldChange,Response to type i interferon ,3
regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239),0.0003199274125055824,"['IL1B', 'IFI6', 'HSPA1B', 'HSPA1A']",3.4949485464433714,foldChange,Regulation of extrinsic apoptotic signaling pathway in absence of ligand ,4
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844),0.0004864422876556938,"['CXCL8', 'CXCL1', 'CXCL3', 'CXCL2', 'CXCL5']",3.3129686777788523,foldChange,Antimicrobial humoral immune response mediated by antimicrobial peptide ,5
negative regulation of bone remodeling (GO:0046851),0.0005328179514791173,"['IL6', 'SFRP1', 'TNFAIP3']",3.2734211515235896,foldChange,Negative regulation of bone remodeling ,3
PERK-mediated unfolded protein response (GO:0036499),0.0005328179514791173,"['CXCL8', 'DDIT3', 'CCL2']",3.2734211515235896,foldChange,Perk-mediated unfolded protein response ,3
innate immune response (GO:0045087),0.0005566971377736707,"['C3', 'BST2', 'IFITM1', 'MX1', 'IFI6', 'IRF7', 'PTX3', 'ISG15', 'IFIT1']",3.2543810115874323,foldChange,Innate immune response ,9
positive regulation of interferon-beta production (GO:0032728),0.0008083964163216231,"['OAS2', 'OAS3', 'IRF7', 'ISG15']",3.092375620410561,foldChange,Positive regulation of interferon-beta production ,4
cellular response to interferon-gamma (GO:0071346),0.0008402400625779253,"['CCL8', 'CCL7', 'OAS2', 'OAS3', 'IRF7', 'CCL2']",3.0755966151787377,foldChange,Cellular response to interferon-gamma ,6
positive regulation of myeloid cell differentiation (GO:0045639),0.0008700838053818169,"['CSF3', 'HMGB2', 'HSPA1B', 'HSPA1A']",3.060438914666437,foldChange,Positive regulation of myeloid cell differentiation ,4
cholesterol metabolic process (GO:0008203),0.0010478053188897796,"['HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'DHCR7']",2.9797194013083645,foldChange,Cholesterol metabolic process ,5
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237),0.0012164569463466608,"['IL1B', 'IFI6', 'TNFAIP3', 'HSPA1B', 'HSPA1A']",2.914903257300325,foldChange,Negative regulation of extrinsic apoptotic signaling pathway ,5
response to interferon-gamma (GO:0034341),0.0012164569463466608,"['BST2', 'IFITM1', 'CCL8', 'CCL7', 'CCL2']",2.914903257300325,foldChange,Response to interferon-gamma ,5
integrated stress response signaling (GO:0140467),0.0012517267668737204,"['CXCL8', 'DDIT3', 'CCL2']",2.9024904607336706,foldChange,Integrated stress response signaling ,3
monocyte chemotaxis (GO:0002548),0.0013260523408050705,"['IL6', 'CCL8', 'CCL7', 'CCL2']",2.8774393334921817,foldChange,Monocyte chemotaxis ,4
negative regulation of signal transduction (GO:0009968),0.0013424795892874718,"['NR4A2', 'SFRP1', 'CXCL8', 'GDF15', 'IL1B', 'TNFAIP3', 'SPRY1', 'APCDD1']",2.872092308479213,foldChange,Negative regulation of signal transduction ,8
eosinophil chemotaxis (GO:0048245),0.0014375384556120643,"['CCL8', 'CCL7', 'CCL2']",2.842380528664954,foldChange,Eosinophil chemotaxis ,3
eosinophil migration (GO:0072677),0.0014375384556120643,"['CCL8', 'CCL7', 'CCL2']",2.842380528664954,foldChange,Eosinophil migration ,3
regulation of lipid metabolic process (GO:0019216),0.002150929838506803,"['HELZ2', 'HMGCS1', 'SCD', 'IL1B', 'DHCR7']",2.6673737556963575,foldChange,Regulation of lipid metabolic process ,5
negative regulation of multicellular organismal process (GO:0051241),0.002159054886672224,"['SFRP1', 'GDF15', 'IL1B', 'DDIT3', 'ARRDC3', 'STC1', 'SPRY1']",2.6657363170562802,foldChange,Negative regulation of multicellular organismal process ,7
positive regulation of hydrolase activity (GO:0051345),0.0021884410379378752,"['SFRP1', 'CCL8', 'CCL7', 'RGS16', 'HMGB2', 'CCL2']",2.6598651498702304,foldChange,Positive regulation of hydrolase activity ,6
regulation of interferon-beta production (GO:0032648),0.0021884410379378752,"['OAS2', 'OAS3', 'IRF7', 'ISG15']",2.6598651498702304,foldChange,Regulation of interferon-beta production ,4
regulation of glucose transmembrane transport (GO:0010827),0.002246538082548236,"['C3', 'IL1B', 'SLC2A1']",2.648486214996452,foldChange,Regulation of glucose transmembrane transport ,3
regulation of neuroinflammatory response (GO:0150077),0.002246538082548236,"['IL6', 'IL1B', 'PTGS2']",2.648486214996452,foldChange,Regulation of neuroinflammatory response ,3
negative regulation of programmed cell death (GO:0043069),0.002482884979846956,"['NFKBIA', 'NGFR', 'IL6', 'SFRP1', 'IFI6', 'DHCR24', 'HSPA1B', 'IFIT3', 'HSPA1A']",2.6050433987598898,foldChange,Negative regulation of programmed cell death ,9
negative regulation of viral life cycle (GO:1903901),0.002523680534700492,"['BST2', 'IFITM1', 'PTX3']",2.5979656220102476,foldChange,Negative regulation of viral life cycle ,3
glucose transmembrane transport (GO:1904659),0.002523680534700492,"['SLC2A1', 'SLC2A3', 'SLC5A3']",2.5979656220102476,foldChange,Glucose transmembrane transport ,3
positive regulation of T cell cytokine production (GO:0002726),0.0028934369073942063,"['IL6', 'IL1R1', 'IL1B']",2.5385859831705866,foldChange,Positive regulation of t cell cytokine production ,3
apoptotic process (GO:0006915),0.0030450683052502575,"['NFKBIA', 'NGFR', 'IL1B', 'MX1', 'IFI6', 'DHCR24', 'IER3']",2.516402961073615,foldChange,Apoptotic process ,7
negative regulation of protein modification by small protein conjugation or removal (GO:1903321),0.003052464277792315,"['TNFAIP3', 'ISG15', 'HSPA1B', 'HSPA1A']",2.5153494097904368,foldChange,Negative regulation of protein modification by small protein conjugation or removal ,4
neutrophil mediated immunity (GO:0002446),0.003052464277792315,"['C3', 'BST2', 'IL6', 'HSPA6', 'CHI3L1', 'PTX3', 'CXCL1', 'SLC2A3', 'HSPA1B', 'HSPA1A']",2.5153494097904368,foldChange,Neutrophil mediated immunity ,10
regulation of lipid storage (GO:0010883),0.0031647451126918325,"['C3', 'NFKBIA', 'IL6']",2.4996612621423724,foldChange,Regulation of lipid storage ,3
regulation of mitotic nuclear division (GO:0007088),0.0033990181789252667,"['CCNB1', 'DUSP1', 'IL1B', 'MKI67']",2.46864651267913,foldChange,Regulation of mitotic nuclear division ,4
hexose transmembrane transport (GO:0008645),0.003534467688124979,"['SLC2A1', 'SLC2A3', 'SLC5A3']",2.451675984276601,foldChange,Hexose transmembrane transport ,3
regulation of cell migration (GO:0030334),0.0036245681048667927,"['BST2', 'NGFR', 'IFITM1', 'CEMIP', 'SFRP1', 'CCL7', 'IL1B', 'STC1', 'SOD2']",2.4407437355337747,foldChange,Regulation of cell migration ,9
positive regulation of DNA-binding transcription factor activity (GO:0051091),0.0037242594027817382,"['NFKBIA', 'CSF3', 'IL6', 'IL1B', 'DDIT3', 'HSPA1B', 'HSPA1A']",2.4289600770802764,foldChange,Positive regulation of dna-binding transcription factor activity ,7
regulation of astrocyte activation (GO:0061888),0.0037242594027817382,"['IL6', 'LDLR']",2.4289600770802764,foldChange,Regulation of astrocyte activation ,2
regulation of fever generation (GO:0031620),0.0037242594027817382,"['IL1B', 'PTGS2']",2.4289600770802764,foldChange,Regulation of fever generation ,2
regulation of ribonuclease activity (GO:0060700),0.0037242594027817382,"['OAS2', 'OAS3']",2.4289600770802764,foldChange,Regulation of ribonuclease activity ,2
regulation of T-helper 1 cell cytokine production (GO:2000554),0.0037242594027817382,"['IL1R1', 'IL1B']",2.4289600770802764,foldChange,Regulation of t-helper 1 cell cytokine production ,2
glucose import across plasma membrane (GO:0098708),0.0037242594027817382,"['SLC2A1', 'SLC2A3']",2.4289600770802764,foldChange,Glucose import across plasma membrane ,2
positive regulation of glial cell proliferation (GO:0060252),0.0037242594027817382,"['IL6', 'IL1B']",2.4289600770802764,foldChange,Positive regulation of glial cell proliferation ,2
positive regulation of heat generation (GO:0031652),0.0037242594027817382,"['IL1B', 'PTGS2']",2.4289600770802764,foldChange,Positive regulation of heat generation ,2
positive regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070426),0.0037242594027817382,"['HSPA1B', 'HSPA1A']",2.4289600770802764,foldChange,Positive regulation of nucleotide-binding oligomerization domain containing signaling pathway ,2
positive regulation of prostaglandin biosynthetic process (GO:0031394),0.0037242594027817382,"['IL1B', 'PTGS2']",2.4289600770802764,foldChange,Positive regulation of prostaglandin biosynthetic process ,2
positive regulation of T-helper 1 cell cytokine production (GO:2000556),0.0037242594027817382,"['IL1R1', 'IL1B']",2.4289600770802764,foldChange,Positive regulation of t-helper 1 cell cytokine production ,2
protein K29-linked deubiquitination (GO:0035523),0.0037242594027817382,"['TNFAIP3', 'YOD1']",2.4289600770802764,foldChange,Protein k29-linked deubiquitination ,2
negative regulation of cell motility (GO:2000146),0.004052076916742643,"['BST2', 'NGFR', 'IFITM1', 'SFRP1', 'STC1']",2.3923223194322283,foldChange,Negative regulation of cell motility ,5
positive regulation of cellular biosynthetic process (GO:0031328),0.004268305721405054,"['FABP3', 'IL6', 'CXCL8', 'IL1B', 'PTGS2', 'LDLR']",2.369744481383439,foldChange,Positive regulation of cellular biosynthetic process ,6
chaperone cofactor-dependent protein refolding (GO:0051085),0.004268305721405054,"['HSPA6', 'HSPA1B', 'HSPA1A']",2.369744481383439,foldChange,Chaperone cofactor-dependent protein refolding ,3
cellular response to unfolded protein (GO:0034620),0.004685812838981896,"['HSPA6', 'HSPA1B', 'HSPA1A']",2.3292150620089394,foldChange,Cellular response to unfolded protein ,3
positive regulation of erythrocyte differentiation (GO:0045648),0.004685812838981896,"['HMGB2', 'HSPA1B', 'HSPA1A']",2.3292150620089394,foldChange,Positive regulation of erythrocyte differentiation ,3
regulation of apoptotic process (GO:0042981),0.004690125645206441,"['TOP2A', 'NFKBIA', 'NGFR', 'JUN', 'IL6', 'SFRP1', 'IFI6', 'ANKRD1', 'DHCR24', 'HSPA1B', 'IFIT3', 'HSPA1A']",2.328815522681735,foldChange,Regulation of apoptotic process ,12
regulation of mitotic sister chromatid segregation (GO:0033047),0.0049735162226388204,"['CCNB1', 'DUSP1']",2.303336461136142,foldChange,Regulation of mitotic sister chromatid segregation ,2
regulation of mitotic spindle checkpoint (GO:1903504),0.0049735162226388204,"['CCNB1', 'DUSP1']",2.303336461136142,foldChange,Regulation of mitotic spindle checkpoint ,2
regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070432),0.0049735162226388204,"['HSPA1B', 'HSPA1A']",2.303336461136142,foldChange,Regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway ,2
positive regulation of fever generation (GO:0031622),0.0049735162226388204,"['IL1B', 'PTGS2']",2.303336461136142,foldChange,Positive regulation of fever generation ,2
hexose import across plasma membrane (GO:0140271),0.0049735162226388204,"['SLC2A1', 'SLC2A3']",2.303336461136142,foldChange,Hexose import across plasma membrane ,2
positive regulation of cellular protein localization (GO:1903829),0.00594412707877079,"['NGFR', 'DTX3L', 'LIF', 'SLC5A3']",2.225911914419256,foldChange,Positive regulation of cellular protein localization ,4
positive regulation of MAPK cascade (GO:0043410),0.006043347097885123,"['IL6', 'CCL8', 'CCL7', 'GDF15', 'LIF', 'CCL2', 'CHI3L1']",2.2187224614577863,foldChange,Positive regulation of mapk cascade ,7
'de novo' posttranslational protein folding (GO:0051084),0.006326046242212497,"['HSPA6', 'HSPA1B', 'HSPA1A']",2.1988676377974192,foldChange,'de novo' posttranslational protein folding ,3
regulation of primary metabolic process (GO:0080090),0.006326046242212497,"['HELZ2', 'HMGCS1', 'SCD', 'DHCR7', 'LDLR']",2.1988676377974192,foldChange,Regulation of primary metabolic process ,5
regulation of natural killer cell chemotaxis (GO:2000501),0.006326046242212497,"['CCL7', 'CCL2']",2.1988676377974192,foldChange,Regulation of natural killer cell chemotaxis ,2
regulation of prostaglandin biosynthetic process (GO:0031392),0.006326046242212497,"['IL1B', 'PTGS2']",2.1988676377974192,foldChange,Regulation of prostaglandin biosynthetic process ,2
positive regulation of gliogenesis (GO:0014015),0.006326046242212497,"['IL6', 'IL1B']",2.1988676377974192,foldChange,Positive regulation of gliogenesis ,2
hyaluronan biosynthetic process (GO:0030213),0.006326046242212497,"['CEMIP', 'IL1B']",2.1988676377974192,foldChange,Hyaluronan biosynthetic process ,2
positive regulation of microtubule nucleation (GO:0090063),0.006326046242212497,"['HSPA1B', 'HSPA1A']",2.1988676377974192,foldChange,Positive regulation of microtubule nucleation ,2
positive regulation of unsaturated fatty acid biosynthetic process (GO:2001280),0.006326046242212497,"['IL1B', 'PTGS2']",2.1988676377974192,foldChange,Positive regulation of unsaturated fatty acid biosynthetic process ,2
cellular response to topologically incorrect protein (GO:0035967),0.006611766772417365,"['HSPA6', 'HSPA1B', 'HSPA1A']",2.1796824744046766,foldChange,Cellular response to topologically incorrect protein ,3
regulation of angiogenesis (GO:0045765),0.006611766772417365,"['IL6', 'SFRP1', 'CXCL8', 'IL1B', 'TNFAIP3', 'CHI3L1']",2.1796824744046766,foldChange,Regulation of angiogenesis ,6
positive regulation of protein phosphorylation (GO:0001934),0.006611766772417365,"['C3', 'CSF3', 'IL6', 'CEMIP', 'GDF15', 'IL1B', 'LIF', 'CHI3L1']",2.1796824744046766,foldChange,Positive regulation of protein phosphorylation ,8
regulation of epithelial to mesenchymal transition (GO:0010717),0.006844902007456271,"['SFRP1', 'IL6', 'IL1B', 'SPRY1']",2.16463276490408,foldChange,Regulation of epithelial to mesenchymal transition ,4
positive regulation of transcription by RNA polymerase II (GO:0045944),0.00694821765917097,"['NGFR', 'CSF3', 'JUN', 'LIF', 'HMGB2', 'NFKBIA', 'NR4A2', 'HELZ2', 'PER1', 'IL6', 'DDIT3', 'NAMPT', 'IRF7']",2.158126585346372,foldChange,Positive regulation of transcription by rna polymerase ii ,13
regulation of inflammatory response (GO:0050727),0.0069592573533567076,"['NFKBIA', 'IL6', 'IL1R1', 'IL1B', 'TNFAIP3', 'PTGS2']",2.157437102996849,foldChange,Regulation of inflammatory response ,6
positive regulation of type I interferon production (GO:0032481),0.007012674610498306,"['OAS2', 'OAS3', 'IRF7', 'ISG15']",2.1541163119843665,foldChange,Positive regulation of type i interferon production ,4
positive regulation of cell population proliferation (GO:0008284),0.007137822873817148,"['BST2', 'CSF3', 'IL6', 'SFRP1', 'IL1B', 'NAMPT', 'LIF', 'NES', 'CXCL5']",2.1464342333316413,foldChange,Positive regulation of cell population proliferation ,9
regulation of apoptotic cell clearance (GO:2000425),0.007661436476026151,"['C3', 'CCL2']",2.1156897949726994,foldChange,Regulation of apoptotic cell clearance ,2
positive regulation of apoptotic cell clearance (GO:2000427),0.007661436476026151,"['C3', 'CCL2']",2.1156897949726994,foldChange,Positive regulation of apoptotic cell clearance ,2
positive regulation of monocyte chemotactic protein-1 production (GO:0071639),0.007661436476026151,"['IL1B', 'OAS3']",2.1156897949726994,foldChange,Positive regulation of monocyte chemotactic protein-1 production ,2
neutrophil degranulation (GO:0043312),0.007669646966498026,"['C3', 'BST2', 'HSPA6', 'CHI3L1', 'PTX3', 'CXCL1', 'SLC2A3', 'HSPA1B', 'HSPA1A']",2.1152246261462535,foldChange,Neutrophil degranulation ,9
negative regulation of neurogenesis (GO:0050768),0.007841181225922292,"['NGFR', 'IL6', 'IL1B']",2.1056185085836936,foldChange,Negative regulation of neurogenesis ,3
neutrophil activation involved in immune response (GO:0002283),0.008005859317163013,"['C3', 'BST2', 'HSPA6', 'CHI3L1', 'PTX3', 'CXCL1', 'SLC2A3', 'HSPA1B', 'HSPA1A']",2.0965920457968164,foldChange,Neutrophil activation involved in immune response ,9
cellular response to heat (GO:0034605),0.008351542898758712,"['HSPA6', 'HSPA1B', 'HSPA1A']",2.078233283735889,foldChange,Cellular response to heat ,3
