path_name,adj_p_val,overlapping_genes,-log10_pval,method,time_int,path_name_clean,n_sensors
negative regulation of signal transduction (GO:0009968),0.0020682340717761596,"['NR4A2', 'SFRP1', 'CXCL8', 'GDF15', 'IL1B', 'TNFAIP3', 'SPRY1', 'APCDD1']",2.6844003116476842,foldChange,0,Negative regulation of signal transduction ,8
eosinophil chemotaxis (GO:0048245),0.0021757196441397502,"['CCL8', 'CCL7', 'CCL2']",2.662397067083847,foldChange,0,Eosinophil chemotaxis ,3
eosinophil migration (GO:0072677),0.0021757196441397502,"['CCL8', 'CCL7', 'CCL2']",2.662397067083847,foldChange,0,Eosinophil migration ,3
positive regulation of hydrolase activity (GO:0051345),0.0033960654040749967,"['SFRP1', 'CCL8', 'CCL7', 'RGS16', 'HMGB2', 'CCL2']",2.4690239543658516,foldChange,0,Positive regulation of hydrolase activity ,6
organic hydroxy compound biosynthetic process (GO:1901617),0.003636791788124549,"['INSIG1', 'MSMO1', 'HMGCR', 'DHCR7']",2.4392815622548887,foldChange,0,Organic hydroxy compound biosynthetic process ,4
negative regulation of cellular process (GO:0048523),0.0038504050657536606,"['FABP3', 'SFRP1', 'CXCL8', 'DUSP1', 'IL1B', 'CXCL1', 'SOD2', 'HSPA1B', 'IFIT3', 'SOX4', 'HSPA1A']",2.4144935799543696,foldChange,0,Negative regulation of cellular process ,11
glucose transmembrane transport (GO:1904659),0.003977233872712535,"['SLC2A1', 'SLC2A3', 'SLC5A3']",2.4004188705070617,foldChange,0,Glucose transmembrane transport ,3
negative regulation of apoptotic process (GO:0043066),0.004725602183347655,"['NFKBIA', 'NR4A2', 'NGFR', 'SFRP1', 'CCL2', 'DHCR24', 'SOD2', 'HSPA1B', 'IFIT3', 'HSPA1A']",2.3255428414952015,foldChange,0,Negative regulation of apoptotic process ,10
regulation of mitotic nuclear division (GO:0007088),0.005500572224854072,"['CCNB1', 'DUSP1', 'IL1B', 'MKI67']",2.259592128474917,foldChange,0,Regulation of mitotic nuclear division ,4
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240),0.005500572224854072,"['IL1B', 'HSPA1B', 'HSPA1A']",2.259592128474917,foldChange,0,Negative regulation of extrinsic apoptotic signaling pathway in absence of ligand ,3
negative regulation of signal transduction in absence of ligand (GO:1901099),0.005500572224854072,"['IL1B', 'HSPA1B', 'HSPA1A']",2.259592128474917,foldChange,0,Negative regulation of signal transduction in absence of ligand ,3
hexose transmembrane transport (GO:0008645),0.005500572224854072,"['SLC2A1', 'SLC2A3', 'SLC5A3']",2.259592128474917,foldChange,0,Hexose transmembrane transport ,3
regulation of protein ubiquitination (GO:0031396),0.005720085329914427,"['TNFAIP3', 'ISG15', 'HSPA1B', 'SOX4', 'HSPA1A']",2.242597492529604,foldChange,0,Regulation of protein ubiquitination ,5
regulation of fever generation (GO:0031620),0.005720085329914427,"['IL1B', 'PTGS2']",2.242597492529604,foldChange,0,Regulation of fever generation ,2
regulation of T-helper 1 cell cytokine production (GO:2000554),0.005720085329914427,"['IL1R1', 'IL1B']",2.242597492529604,foldChange,0,Regulation of t-helper 1 cell cytokine production ,2
glucose import across plasma membrane (GO:0098708),0.005720085329914427,"['SLC2A1', 'SLC2A3']",2.242597492529604,foldChange,0,Glucose import across plasma membrane ,2
positive regulation of heat generation (GO:0031652),0.005720085329914427,"['IL1B', 'PTGS2']",2.242597492529604,foldChange,0,Positive regulation of heat generation ,2
positive regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070426),0.005720085329914427,"['HSPA1B', 'HSPA1A']",2.242597492529604,foldChange,0,Positive regulation of nucleotide-binding oligomerization domain containing signaling pathway ,2
positive regulation of prostaglandin biosynthetic process (GO:0031394),0.005720085329914427,"['IL1B', 'PTGS2']",2.242597492529604,foldChange,0,Positive regulation of prostaglandin biosynthetic process ,2
positive regulation of T-helper 1 cell cytokine production (GO:2000556),0.005720085329914427,"['IL1R1', 'IL1B']",2.242597492529604,foldChange,0,Positive regulation of t-helper 1 cell cytokine production ,2
protein K29-linked deubiquitination (GO:0035523),0.005720085329914427,"['TNFAIP3', 'YOD1']",2.242597492529604,foldChange,0,Protein k29-linked deubiquitination ,2
positive regulation of cellular biosynthetic process (GO:0031328),0.0065475083016206075,"['FABP3', 'CXCL8', 'IL1B', 'PTGS2', 'LDLR', 'SOX4']",2.183923942258097,foldChange,0,Positive regulation of cellular biosynthetic process ,6
regulation of mitotic metaphase/anaphase transition (GO:0030071),0.0065475083016206075,"['CCNB1', 'DUSP1', 'UBE2C']",2.183923942258097,foldChange,0,Regulation of mitotic metaphase/anaphase transition ,3
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844),0.0065529492909451965,"['CXCL8', 'CXCL1', 'CXCL3', 'CXCL2']",2.1835631927561905,foldChange,0,Antimicrobial humoral immune response mediated by antimicrobial peptide ,4
cellular response to type I interferon (GO:0071357),0.0065529492909451965,"['OAS3', 'ISG15', 'IFIT1', 'IFIT3']",2.1835631927561905,foldChange,0,Cellular response to type i interferon ,4
steroid biosynthetic process (GO:0006694),0.0065529492909451965,"['INSIG1', 'MSMO1', 'HMGCR', 'DHCR7']",2.1835631927561905,foldChange,0,Steroid biosynthetic process ,4
type I interferon signaling pathway (GO:0060337),0.0065529492909451965,"['OAS3', 'ISG15', 'IFIT1', 'IFIT3']",2.1835631927561905,foldChange,0,Type i interferon signaling pathway ,4
positive regulation of erythrocyte differentiation (GO:0045648),0.0065529492909451965,"['HMGB2', 'HSPA1B', 'HSPA1A']",2.1835631927561905,foldChange,0,Positive regulation of erythrocyte differentiation ,3
cytoskeleton organization (GO:0007010),0.0065529492909451965,"['DES', 'CCL7', 'TNFAIP3', 'CCL2', 'RND3']",2.1835631927561905,foldChange,0,Cytoskeleton organization ,5
regulation of viral genome replication (GO:0045069),0.0065529492909451965,"['CXCL8', 'OAS3', 'ISG15', 'IFIT1']",2.1835631927561905,foldChange,0,Regulation of viral genome replication ,4
regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239),0.0065529492909451965,"['IL1B', 'HSPA1B', 'HSPA1A']",2.1835631927561905,foldChange,0,Regulation of extrinsic apoptotic signaling pathway in absence of ligand ,3
cellular heat acclimation (GO:0070370),0.0065529492909451965,"['HSPA1B', 'HSPA1A']",2.1835631927561905,foldChange,0,Cellular heat acclimation ,2
regulation of mitotic sister chromatid segregation (GO:0033047),0.0065529492909451965,"['CCNB1', 'DUSP1']",2.1835631927561905,foldChange,0,Regulation of mitotic sister chromatid segregation ,2
regulation of mitotic spindle checkpoint (GO:1903504),0.0065529492909451965,"['CCNB1', 'DUSP1']",2.1835631927561905,foldChange,0,Regulation of mitotic spindle checkpoint ,2
regulation of nuclease activity (GO:0032069),0.0065529492909451965,"['OAS3', 'HMGB2']",2.1835631927561905,foldChange,0,Regulation of nuclease activity ,2
regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070432),0.0065529492909451965,"['HSPA1B', 'HSPA1A']",2.1835631927561905,foldChange,0,Regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway ,2
positive regulation of fever generation (GO:0031622),0.0065529492909451965,"['IL1B', 'PTGS2']",2.1835631927561905,foldChange,0,Positive regulation of fever generation ,2
heat acclimation (GO:0010286),0.0065529492909451965,"['HSPA1B', 'HSPA1A']",2.1835631927561905,foldChange,0,Heat acclimation ,2
hexose import across plasma membrane (GO:0140271),0.0065529492909451965,"['SLC2A1', 'SLC2A3']",2.1835631927561905,foldChange,0,Hexose import across plasma membrane ,2
cellular response to oxidative stress (GO:0034599),0.007209945446339967,"['JUN', 'HMOX1', 'SOD2', 'HSPA1B', 'HSPA1A']",2.1420680213337127,foldChange,0,Cellular response to oxidative stress ,5
negative regulation of viral process (GO:0048525),0.007209945446339967,"['OAS3', 'ISG15', 'PTX3', 'IFIT1']",2.1420680213337127,foldChange,0,Negative regulation of viral process ,4
sterol metabolic process (GO:0016125),0.007209945446339967,"['INSIG1', 'MSMO1', 'HMGCR', 'DHCR7']",2.1420680213337127,foldChange,0,Sterol metabolic process ,4
positive regulation of cellular protein localization (GO:1903829),0.007517322371435448,"['NGFR', 'DTX3L', 'LIF', 'SLC5A3']",2.123936825151864,foldChange,0,Positive regulation of cellular protein localization ,4
positive regulation of ubiquitin-protein transferase activity (GO:0051443),0.008093163643748102,"['CDC20', 'UBE2C', 'ARRDC3']",2.091881678085357,foldChange,0,Positive regulation of ubiquitin-protein transferase activity ,3
regulation of natural killer cell chemotaxis (GO:2000501),0.008093163643748102,"['CCL7', 'CCL2']",2.091881678085357,foldChange,0,Regulation of natural killer cell chemotaxis ,2
regulation of prostaglandin biosynthetic process (GO:0031392),0.008093163643748102,"['IL1B', 'PTGS2']",2.091881678085357,foldChange,0,Regulation of prostaglandin biosynthetic process ,2
hyaluronan biosynthetic process (GO:0030213),0.008093163643748102,"['CEMIP', 'IL1B']",2.091881678085357,foldChange,0,Hyaluronan biosynthetic process ,2
positive regulation of microtubule nucleation (GO:0090063),0.008093163643748102,"['HSPA1B', 'HSPA1A']",2.091881678085357,foldChange,0,Positive regulation of microtubule nucleation ,2
positive regulation of unsaturated fatty acid biosynthetic process (GO:2001280),0.008093163643748102,"['IL1B', 'PTGS2']",2.091881678085357,foldChange,0,Positive regulation of unsaturated fatty acid biosynthetic process ,2
regulation of angiogenesis (GO:0045765),0.0085814504454636,"['SFRP1', 'CXCL8', 'IL1B', 'TNFAIP3', 'CHI3L1', 'HMOX1']",2.0664393010530144,foldChange,0,Regulation of angiogenesis ,6
negative regulation of smooth muscle cell proliferation (GO:0048662),0.00918118407999104,"['TNFAIP3', 'HMOX1', 'SOD2']",2.0371013050466256,foldChange,0,Negative regulation of smooth muscle cell proliferation ,3
cytokine-mediated signaling pathway (GO:0019221),5.070216080782964e-11,"['CSF3', 'CXCL8', 'CEBPD', 'IL1R1', 'IL24', 'LIF', 'ISG15', 'CXCL1', 'IFIT1', 'CXCL3', 'SOD2', 'PTGS2', 'CXCL2', 'IFIT3', 'NFKBIA', 'SOCS3', 'UGCG', 'CCL8', 'CCL7', 'IL1B', 'OAS3', 'CCL2', 'HMOX1']",10.294973531654438,foldChange,8,Cytokine-mediated signaling pathway ,23
cellular response to cytokine stimulus (GO:0071345),1.8378744506599855e-10,"['CSF3', 'CXCL8', 'CEBPD', 'DUSP1', 'IL1R1', 'IL24', 'LIF', 'CXCL1', 'IFIT1', 'PTGS2', 'CXCL2', 'SOCS3', 'SFRP1', 'CCL8', 'CCL7', 'IL1B', 'ANKRD1', 'CCL2', 'CHI3L1', 'HMOX1']",9.735684159570097,foldChange,8,Cellular response to cytokine stimulus ,20
secondary alcohol biosynthetic process (GO:1902653),1.0388363296629719e-07,"['IDI1', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'HMGCR', 'DHCR7']",6.9834528708484065,foldChange,8,Secondary alcohol biosynthetic process ,7
chemokine-mediated signaling pathway (GO:0070098),1.0388363296629719e-07,"['CXCL8', 'RBM15', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",6.9834528708484065,foldChange,8,Chemokine-mediated signaling pathway ,8
cholesterol biosynthetic process (GO:0006695),1.0388363296629719e-07,"['IDI1', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'HMGCR', 'DHCR7']",6.9834528708484065,foldChange,8,Cholesterol biosynthetic process ,7
response to interleukin-1 (GO:0070555),1.0388363296629719e-07,"['SFRP1', 'CXCL8', 'CCL8', 'CCL7', 'IL1R1', 'IL1B', 'ANKRD1', 'CHI3L1', 'CCL2']",6.9834528708484065,foldChange,8,Response to interleukin-1 ,9
cellular response to chemokine (GO:1990869),1.1934487214486556e-07,"['CXCL8', 'CCL8', 'CCL7', 'DUSP1', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",6.923196236456402,foldChange,8,Cellular response to chemokine ,8
sterol biosynthetic process (GO:0016126),1.2076170932446093e-07,"['IDI1', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'HMGCR', 'DHCR7']",6.918070748373954,foldChange,8,Sterol biosynthetic process ,7
cellular response to molecule of bacterial origin (GO:0071219),9.402119338425247e-07,"['CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",6.026774240736509,foldChange,8,Cellular response to molecule of bacterial origin ,9
cellular response to lipopolysaccharide (GO:0071222),1.2327045356277068e-06,"['CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.9091410060672525,foldChange,8,Cellular response to lipopolysaccharide ,9
cellular response to lipid (GO:0071396),1.5938888870465925e-06,"['SFRP1', 'CXCL8', 'INSIG1', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.797541957359287,foldChange,8,Cellular response to lipid ,11
regulation of primary metabolic process (GO:0080090),2.0507203041552023e-06,"['HELZ2', 'IDI1', 'HMGCS1', 'SCD', 'FASN', 'ODC1', 'DHCR7', 'HMGCR', 'LDLR']",5.688093568615176,foldChange,8,Regulation of primary metabolic process ,9
regulation of lipid metabolic process (GO:0019216),2.0507203041552023e-06,"['HELZ2', 'IDI1', 'HMGCS1', 'SCD', 'IL1B', 'FASN', 'HMGCR', 'DHCR7']",5.688093568615176,foldChange,8,Regulation of lipid metabolic process ,8
neutrophil chemotaxis (GO:0030593),5.754029029489151e-06,"['CXCL8', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.240027951393356,foldChange,8,Neutrophil chemotaxis ,7
cellular response to oxygen-containing compound (GO:1901701),6.746494191061164e-06,"['JUN', 'SFRP1', 'CXCL8', 'INSIG1', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.17092184924378,foldChange,8,Cellular response to oxygen-containing compound ,12
granulocyte chemotaxis (GO:0071621),6.746494191061164e-06,"['CXCL8', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.17092184924378,foldChange,8,Granulocyte chemotaxis ,7
cellular response to interleukin-1 (GO:0071347),6.746494191061164e-06,"['NFKBIA', 'SFRP1', 'CCL8', 'CXCL8', 'CCL7', 'IL1R1', 'IL1B', 'ANKRD1', 'CCL2']",5.17092184924378,foldChange,8,Cellular response to interleukin-1 ,9
response to lipopolysaccharide (GO:0032496),7.85302391431681e-06,"['CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.104963080016159,foldChange,8,Response to lipopolysaccharide ,9
cholesterol metabolic process (GO:0008203),7.85302391431681e-06,"['IDI1', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'HMGCR', 'DHCR7']",5.104963080016159,foldChange,8,Cholesterol metabolic process ,7
neutrophil migration (GO:1990266),7.85302391431681e-06,"['CXCL8', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.104963080016159,foldChange,8,Neutrophil migration ,7
negative regulation of protein ubiquitination (GO:0031397),1.321591325896339e-05,"['DTX3L', 'TNFAIP3', 'ISG15', 'SOX4', 'HSPA1B', 'HSPA1A']",4.878902820453262,foldChange,8,Negative regulation of protein ubiquitination ,6
inflammatory response (GO:0006954),1.4597339613787782e-05,"['CCL8', 'CXCL8', 'CCL7', 'IL1B', 'CCL2', 'CHI3L1', 'PTX3', 'CXCL1', 'CXCL3', 'CXCL2']",4.835726287799888,foldChange,8,Inflammatory response ,10
negative regulation of cell population proliferation (GO:0008285),2.5315541097037647e-05,"['FABP3', 'SFRP1', 'CXCL8', 'IL1B', 'TNFAIP3', 'HMOX1', 'CXCL1', 'SOD2', 'HSPA1B', 'IFIT3', 'SOX4', 'HSPA1A']",4.596612785522007,foldChange,8,Negative regulation of cell population proliferation ,12
response to tumor necrosis factor (GO:0034612),7.571443381952062e-05,"['SFRP1', 'CCL8', 'CXCL8', 'CCL7', 'ANKRD1', 'CCL2', 'CHI3L1']",4.120821320887877,foldChange,8,Response to tumor necrosis factor ,7
response to unfolded protein (GO:0006986),0.00024921075391640823,"['DDIT3', 'HSPA4L', 'HSPB3', 'HSPA1B', 'HSPA1A']",3.603433220978414,foldChange,8,Response to unfolded protein ,5
cellular response to tumor necrosis factor (GO:0071356),0.0003119577864631989,"['NFKBIA', 'SFRP1', 'CCL8', 'CXCL8', 'CCL7', 'ANKRD1', 'CCL2', 'CHI3L1']",3.5059041699124514,foldChange,8,Cellular response to tumor necrosis factor ,8
negative regulation of protein modification by small protein conjugation or removal (GO:1903321),0.00041109664360192345,"['TNFAIP3', 'ISG15', 'SOX4', 'HSPA1B', 'HSPA1A']",3.3860560690019765,foldChange,8,Negative regulation of protein modification by small protein conjugation or removal ,5
negative regulation of multicellular organismal process (GO:0051241),0.0005933201010939051,"['SFRP1', 'GDF15', 'IL1B', 'DDIT3', 'ARRDC3', 'STC1', 'SPRY1', 'HMGCR']",3.2267109379489387,foldChange,8,Negative regulation of multicellular organismal process ,8
positive regulation of interleukin-8 production (GO:0032757),0.0006392116880325295,"['DDIT3', 'IL1B', 'CHI3L1', 'HSPA1B', 'HSPA1A']",3.1943552925150542,foldChange,8,Positive regulation of interleukin-8 production ,5
PERK-mediated unfolded protein response (GO:0036499),0.0008921842221870284,"['CXCL8', 'DDIT3', 'CCL2']",3.0495454612980546,foldChange,8,Perk-mediated unfolded protein response ,3
regulation of cell population proliferation (GO:0042127),0.0011693263791765615,"['CSF3', 'JUN', 'CXCL8', 'LIF', 'HMGB2', 'CXCL1', 'SOD2', 'IFIT3', 'FABP3', 'SFRP1', 'IL1B', 'HSPA1B', 'SOX4', 'HSPA1A']",2.9320642528314402,foldChange,8,Regulation of cell population proliferation ,14
