,path_name,adj_p_val,overlapping_genes,mode
54,centromere complex assembly (GO:0034508),3.403990073608419e-05,"['CENPT', 'CENPI', 'HJURP', 'KNL1', 'CENPO', 'DLGAP5']",1
55,regulation of ubiquitin protein ligase activity (GO:1904666),3.410367779411508e-05,"['UBE2C', 'UBE2S', 'PLK1', 'FBXO5', 'MAD2L1']",1
56,regulation of attachment of spindle microtubules to kinetochore (GO:0051988),3.8335431567463255e-05,"['RACGAP1', 'SPAG5', 'ECT2', 'KNSTRN']",1
57,regulation of exit from mitosis (GO:0007096),4.379878480082682e-05,"['ANLN', 'UBE2C', 'UBE2S', 'CDCA5', 'BUB1B', 'MAD2L1']",1
58,DNA replication-independent nucleosome assembly (GO:0006336),4.379878480082682e-05,"['CENPT', 'CENPI', 'HJURP', 'KNL1', 'CENPO', 'ASF1B']",1
59,mitotic cell cycle checkpoint signaling (GO:0007093),5.1785078290857466e-05,"['ZWILCH', 'BUB1B', 'BUB1', 'AURKB', 'ZWINT']",1
60,cilium assembly (GO:0060271),6.560503699668862e-05,"['PLK4', 'DYNC2I2', 'HSP90AA1', 'TUBB', 'PLK1', 'TUBG1', 'DYNLL1', 'TUBB4B', 'TUBA4A', 'CENPJ', 'WDR90', 'CDK1', 'CDK5RAP2', 'CEP78']",1
61,cell cycle checkpoint signaling (GO:0000075),8.048221152359048e-05,"['ZWILCH', 'BUB1B', 'BUB1', 'ZWINT']",1
62,regulation of sister chromatid cohesion (GO:0007063),8.048221152359048e-05,"['FEN1', 'ESPL1', 'CDCA5', 'BUB1']",1
63,microtubule polymerization or depolymerization (GO:0031109),0.0001117940527916991,"['KIF18B', 'CENPJ', 'STMN1', 'KIF14', 'KIF2C']",1
64,kinetochore organization (GO:0051383),0.0001117940527916991,"['CENPT', 'NUF2', 'NDC80', 'DLGAP5']",1
65,negative regulation of mitotic cell cycle (GO:0045930),0.00013665643368856951,"['ZWILCH', 'BUB1B', 'SCRIB', 'BUB1', 'ZWINT', 'MAD2L1']",1
66,CENP-A containing chromatin organization (GO:0061641),0.0001828140369256969,"['CENPT', 'CENPI', 'HJURP', 'KNL1', 'CENPO']",1
67,CENP-A containing nucleosome assembly (GO:0034080),0.0001828140369256969,"['CENPT', 'CENPI', 'HJURP', 'KNL1', 'CENPO']",1
68,regulation of cellular response to heat (GO:1900034),0.00023127067729148036,"['NDC1', 'DNAJB1', 'HSPA8', 'HSP90AA1', 'HSPH1', 'NUP85', 'FKBP4']",1
69,chromatin remodeling at centromere (GO:0031055),0.00024691318131315234,"['CENPT', 'CENPI', 'HJURP', 'KNL1', 'CENPO']",1
70,regulation of mitotic nuclear division (GO:0007088),0.00034862075022470095,"['FBXO5', 'MKI67', 'KIF20B', 'PKMYT1', 'CDK5RAP2', 'AURKA']",1
71,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)",0.00035879846571013556,"['RACGAP1', 'KIF4A', 'KIF23', 'KIF2C', 'KIF11', 'KIF22', 'KIF15']",1
72,"base-excision repair, gap-filling (GO:0006287)",0.00037000170126592576,"['FEN1', 'RFC3', 'LIG1', 'POLD1', 'POLE']",1
73,positive regulation of mitotic cell cycle phase transition (GO:1901992),0.00037000170126592576,"['ESPL1', 'UBE2C', 'CDCA5', 'CDK1', 'FBXO5', 'DLGAP5']",1
74,regulation of cellular response to stress (GO:0080135),0.0003723198709834725,"['NDC1', 'HSPA8', 'DNAJB1', 'HSP90AA1', 'HSPH1', 'NUP85', 'FKBP4', 'MANF']",1
75,regulation of chromosome segregation (GO:0051983),0.00038337108035717705,"['KIF2C', 'MKI67', 'BUB1', 'AURKB']",1
76,DNA strand elongation (GO:0022616),0.00038337108035717705,"['GINS1', 'POLA1', 'RFC3', 'GINS4']",1
77,microtubule depolymerization (GO:0007019),0.00038337108035717705,"['KIF18B', 'STMN1', 'KIF14', 'KIF2C']",1
78,regulation of centriole replication (GO:0046599),0.00047571321463465164,"['PLK4', 'STIL', 'CENPJ', 'CDK5RAP2']",1
79,histone exchange (GO:0043486),0.0005129353766355603,"['CENPT', 'CENPI', 'HJURP', 'KNL1', 'CENPO']",1
80,regulation of nuclear division (GO:0051783),0.0005754323274737731,"['FBXO5', 'MKI67', 'PKMYT1', 'KIF20B']",1
81,meiotic sister chromatid cohesion (GO:0051177),0.0007287097485906056,"['SGO2', 'BUB1B', 'BUB1']",1
82,ubiquitin-dependent protein catabolic process (GO:0006511),0.0008225573059837113,"['UBE2C', 'PLK1', 'ADRM1', 'KIF14', 'BUB1B', 'AURKB', 'AURKA', 'UCHL1', 'PSMC3', 'UBE2S', 'PSMD2', 'PSMD1', 'MAD2L1']",1
83,DNA synthesis involved in DNA repair (GO:0000731),0.0008890611752664537,"['POLA1', 'RFC3', 'POLD1', 'POLE', 'POLH']",1
84,DNA-dependent DNA replication maintenance of fidelity (GO:0045005),0.0008890611752664537,"['FAM111A', 'EME1', 'POLD1', 'ALYREF', 'POLE']",1
85,"nucleotide-excision repair, DNA gap filling (GO:0006297)",0.0011520048405137813,"['RFC3', 'LIG1', 'POLD1', 'POLE']",1
86,regulation of DNA metabolic process (GO:0051052),0.0012072534016655135,"['PIF1', 'ALYREF', 'KPNA2', 'POLH', 'TICRR']",1
87,mitotic DNA replication (GO:1902969),0.001431592953446367,"['GINS1', 'POLA1', 'LIG1']",1
88,regulation of cell division (GO:0051302),0.001431592953446367,"['PLK4', 'KIF18B', 'PLK1', 'KIF20A', 'AURKB', 'AURKA']",1
89,DNA geometric change (GO:0032392),0.0015247064609591984,"['RECQL4', 'PIF1', 'HMGB2', 'DNA2']",1
90,nucleobase-containing small molecule interconversion (GO:0015949),0.001756414799853381,"['DTYMK', 'RRM1', 'RRM2', 'TYMS']",1
91,regulation of microtubule polymerization or depolymerization (GO:0031110),0.0019894687746764327,"['STMN1', 'SKA3', 'FKBP4', 'SKA1']",1
92,protein depolymerization (GO:0051261),0.0019894687746764327,"['KIF18B', 'STMN1', 'KIF14', 'KIF2C']",1
93,attachment of mitotic spindle microtubules to kinetochore (GO:0051315),0.0023990540463505092,"['NUF2', 'KIF2C', 'NDC80']",1
94,positive regulation of ubiquitin protein ligase activity (GO:1904668),0.0023990540463505092,"['UBE2C', 'UBE2S', 'PLK1']",1
95,G1/S transition of mitotic cell cycle (GO:0000082),0.002464837754008695,"['POLA1', 'DBF4', 'RRM2', 'FBXO5', 'TYMS', 'POLE']",1
96,regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266),0.0030319968963886017,"['NDC80', 'CDK5RAP2', 'MAD2L1']",1
97,regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083),0.0032138020914836076,"['POLA1', 'RRM2', 'FBXO5', 'TYMS']",1
98,mitotic DNA damage checkpoint signaling (GO:0044773),0.0034883365796750214,"['EME1', 'FANCD2', 'PLK1', 'CDK1', 'TICRR']",1
99,double-strand break repair via nonhomologous end joining (GO:0006303),0.004357014972073253,"['H2AX', 'POLQ', 'POLA1', 'NSD2', 'HMGB2']",1
100,regulation of intracellular signal transduction (GO:1902531),0.005302590246923973,"['ARHGAP11A', 'RFC3', 'ARHGAP19', 'ITFG2', 'AURKB', 'AURKA', 'TPX2', 'DEPDC1B', 'RACGAP1', 'CDK1', 'DNA2', 'ECT2', 'FAM83D']",1
101,regulation of mitotic sister chromatid separation (GO:0010965),0.0055221895769861674,"['UBE2C', 'PLK1', 'TACC3']",1
102,negative regulation of G2/M transition of mitotic cell cycle (GO:0010972),0.005656706146059393,"['PSMC3', 'PSMD2', 'PSMD1', 'AURKB', 'AURKA']",1
103,DNA replication initiation (GO:0006270),0.005932143920426974,"['POLA1', 'DBF4', 'POLE3', 'POLE']",1
104,replication fork processing (GO:0031297),0.006496334867180119,"['FAM111A', 'EME1', 'ALYREF', 'DNA2']",1
105,"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",0.009289583062245498,"['CDK1', 'RPL26', 'FOXM1', 'GTSE1', 'AURKA']",1
0,microtubule cytoskeleton organization involved in mitosis (GO:1902850),7.424180874119274e-38,"['ERCC6L', 'ZWILCH', 'BUB1B', 'CDCA8', 'TTK', 'KIF11', 'SKA1', 'AURKB', 'AURKA', 'NUP85', 'STMN1', 'NUF2', 'SPDL1', 'BUB1', 'DLGAP5', 'CENPT', 'STIL', 'NUDC', 'PLK1', 'KNL1', 'DYNLL1', 'RANGAP1', 'TUBG1', 'NDC80', 'ZWINT', 'SGO2', 'ESPL1', 'INCENP', 'CENPI', 'KIF4A', 'TACC3', 'BIRC5', 'KIF2C', 'CENPO', 'MAD2L1']",2
1,mitotic spindle organization (GO:0007052),8.07875262913526e-38,"['ERCC6L', 'ZWILCH', 'BUB1B', 'CDCA8', 'TTK', 'KIF11', 'SKA1', 'AURKB', 'AURKA', 'NUP85', 'STMN1', 'NUF2', 'SPDL1', 'BUB1', 'DLGAP5', 'CENPT', 'STIL', 'NUDC', 'PLK1', 'KIF23', 'KNL1', 'DYNLL1', 'RANGAP1', 'SMC1A', 'TUBG1', 'NDC80', 'ZWINT', 'SGO2', 'TPX2', 'INCENP', 'KIFC1', 'CENPI', 'KIF4A', 'BIRC5', 'KIF2C', 'CENPO', 'MAD2L1']",2
2,mitotic sister chromatid segregation (GO:0000070),5.97918306463537e-32,"['CDCA5', 'NCAPG2', 'KIF14', 'CDCA8', 'NCAPG', 'SMC4', 'NCAPH', 'SMC2', 'SPDL1', 'CEP55', 'DLGAP5', 'NUDC', 'SPAG5', 'PLK1', 'KIF23', 'KIF22', 'SMC1A', 'TUBG1', 'KNSTRN', 'NDC80', 'ZWINT', 'SGO2', 'KIF18B', 'ESPL1', 'KIFC1', 'CDK1', 'KIF2C', 'NCAPD2', 'NCAPD3']",2
3,sister chromatid segregation (GO:0000819),2.590691269464882e-19,"['TOP2A', 'SPAG5', 'NCAPG2', 'PLK1', 'CDCA8', 'SMC1A', 'TUBG1', 'SMC4', 'KNSTRN', 'NDC80', 'ZWINT', 'SGO2', 'KIF18B', 'ESPL1', 'KIFC1']",2
4,mitotic nuclear division (GO:0140014),4.600003334523744e-18,"['SPAG5', 'UBE2C', 'NCAPG2', 'PLK1', 'CDCA8', 'KIF11', 'SMC1A', 'TUBG1', 'SMC4', 'KNSTRN', 'NDC80', 'ZWINT', 'SGO2', 'TPX2', 'KIF18B', 'ESPL1', 'KIFC1', 'UBE2S']",2
5,regulation of mitotic cell cycle phase transition (GO:1901990),1.4736329656844525e-17,"['PLK4', 'HSP90AA1', 'UBE2C', 'TUBB', 'PLK1', 'KIF14', 'BUB1B', 'DYNLL1', 'TUBG1', 'TUBB4B', 'TUBA4A', 'AURKA', 'ANLN', 'TPX2', 'PSMC3', 'UBE2S', 'PSMD2', 'CENPJ', 'CDK1', 'PSMD1', 'FBXO5', 'CDK5RAP2', 'CEP78', 'MAD2L1']",2
6,mitotic cell cycle phase transition (GO:0044772),2.2589616790091663e-15,"['PLK4', 'HSP90AA1', 'UBE2C', 'TUBB', 'CCNF', 'PLK1', 'TUBG1', 'DYNLL1', 'TUBB4B', 'PKMYT1', 'FOXM1', 'TUBA4A', 'AURKA', 'CCNA2', 'MELK', 'DBF4', 'UBE2S', 'CENPJ', 'TACC3', 'CDK1', 'POLE', 'CDK5RAP2', 'CEP78']",2
7,regulation of cell cycle G2/M phase transition (GO:1902749),3.291166576446101e-14,"['PLK4', 'HSP90AA1', 'TUBB', 'PLK1', 'KIF14', 'DYNLL1', 'TUBG1', 'TUBB4B', 'TUBA4A', 'AURKA', 'TPX2', 'CENPJ', 'CDK1', 'GTSE1', 'CDK5RAP2', 'CEP78']",2
8,chromosome condensation (GO:0030261),4.6454642949507485e-14,"['TOP2A', 'CDCA5', 'NCAPG2', 'PLK1', 'NCAPG', 'SMC4', 'NCAPH', 'SMC2', 'H1-2', 'INCENP', 'CDK1', 'NCAPD2', 'NCAPD3']",2
9,regulation of cell cycle process (GO:0010564),5.059937863233413e-14,"['PLK4', 'SPAG5', 'PLK1', 'KIF11', 'MKI67', 'PKMYT1', 'KNSTRN', 'AURKB', 'AURKA', 'DBF4', 'RACGAP1', 'FBXO5', 'KIF20A', 'CEP85', 'KIF20B', 'ECT2', 'BUB1']",2
10,regulation of G2/M transition of mitotic cell cycle (GO:0010389),6.695094000235563e-14,"['PLK4', 'HSP90AA1', 'TUBB', 'PLK1', 'KIF14', 'DYNLL1', 'TUBG1', 'TUBB4B', 'TUBA4A', 'AURKA', 'TPX2', 'PSMC3', 'PSMD2', 'CENPJ', 'CDK1', 'PSMD1', 'FBXO5', 'CDK5RAP2', 'CEP78']",2
11,mitotic cytokinesis (GO:0000281),1.2102616840423967e-13,"['PLK1', 'CKAP2', 'KIF23', 'CIT', 'ANLN', 'ESPL1', 'RACGAP1', 'INCENP', 'KIF4A', 'STMN1', 'KIF20A', 'ECT2', 'CEP55']",2
12,cytoskeleton-dependent cytokinesis (GO:0061640),9.817470324790842e-13,"['PLK1', 'CKAP2', 'KIF23', 'AURKB', 'CIT', 'ANLN', 'ESPL1', 'RACGAP1', 'INCENP', 'KIF4A', 'STMN1', 'KIF20A', 'ECT2', 'CEP55']",2
